id,state_name,waiting_time,time_until_sent_home,broken_bone,transfer_time,hospital_name,hospital_link,phone,address
1,Alaska,28,-1,59,238,"providence alaska medical center",/emergency/hospital/020001,"(907) 261-3675","box 196604  anchorage, AK 99508"
2,Alaska,17,-1,58,102,"mat-su regional medical center",/emergency/hospital/020006,"(907) 746-8600","2500 south woodworth loop  palmer, AK 99645"
3,Alaska,-1,-1,-1,81,"yukon kuskokwim delta reg hospital",/emergency/hospital/020018,"(907) 543-6300","po box 287  bethel, AK 99559"
4,Alaska,29,-1,39,88,"bartlett regional hospital",/emergency/hospital/020008,"(907) 796-8900","3260 hospital dr  juneau, AK 99801"
5,Alaska,74,-1,44,140,"fairbanks memorial hospital",/emergency/hospital/020012,"(907) 452-8181","1650 cowles street  fairbanks, AK 99701"
6,Alaska,13,-1,44,105,"alaska regional hospital",/emergency/hospital/020017,"(907) 276-1131","2801 debarr road  anchorage, AK 99508"
7,Alaska,41,-1,62,145,"alaska native medical center",/emergency/hospital/020026,"(907) 563-2662","4315 diplomacy dr  anchorage, AK 99508"
8,Alaska,-1,-1,-1,45,"mt edgecumbe hospital",/emergency/hospital/020027,"(907) 966-2411","222 tongass dr  sitka, AK 99835"
9,Alaska,-1,-1,-1,-1,"sitka community hospital",/emergency/hospital/021303,"(907) 747-3241","209 moller drive  sitka, AK 99835"
10,Alaska,-1,-1,-1,-1,"providence valdez medical center",/emergency/hospital/021301,"(907) 835-2249","po box 550  valdez, AK 99686"
11,Alaska,-1,-1,-1,-1,"cordova community medical center",/emergency/hospital/021307,"(907) 424-8000","po box 160 - 602 chase avenue  cordova, AK 99574"
12,Alaska,-1,-1,-1,-1,"providence seward hospital",/emergency/hospital/021302,"(907) 224-5205","417 first avenue, po box 365  seward, AK 99664"
13,Alaska,-1,-1,-1,-1,"kanakanak hospital",/emergency/hospital/021309,"(907) 842-5201","p o box 130  dillingham, AK 99576"
14,Alaska,22,-1,53,-1,"peacehealth ketchikan medical center",/emergency/hospital/021311,"(907) 225-5171","3100 tongass avenue  ketchikan, AK 99901"
15,Alaska,-1,-1,-1,-1,"wrangell medical center",/emergency/hospital/021305,"(907) 874-7000","310 bennett street po box 1081  wrangell, AK 99929"
16,Alaska,-1,-1,-1,-1,"norton sound regional hospital",/emergency/hospital/021308,"(907) 443-3311","1000 greg kruschek avenue (p o box 966)  nome, AK 99762"
17,Alaska,-1,-1,-1,-1,"samuel simmonds memorial hospital",/emergency/hospital/021312,"(907) 852-4611","7000 uula st  barrow, AK 99723"
18,Alaska,-1,-1,-1,-1,"petersburg medical center",/emergency/hospital/021304,"(907) 772-4291"," po box 589  petersburg, AK 99833"
19,Alaska,-1,-1,-1,-1,"providence kodiak island medical ctr",/emergency/hospital/021306,"(907) 486-9592","1915 east rezanof drive  kodiak, AK 99615"
20,Alaska,-1,-1,-1,-1,"south peninsula hospital",/emergency/hospital/021313,"(907) 235-8101","4300 bartlett st  homer, AK 99603"
21,Alaska,32,-1,50,90,"central peninsula general hospital",/emergency/hospital/020024,"(907) 262-4404","250 hospital place  soldotna, AK 99669"
22,Alabama,20,-1,40,69,"wedowee hospital",/emergency/hospital/010032,"(256) 357-2111","209 north main street  wedowee, AL 36278"
23,Alabama,29,-1,72,80,"shelby baptist medical center",/emergency/hospital/010016,"(205) 620-8100","1000 first street north  alabaster, AL 35007"
24,Alabama,40,-1,63,73,"dekalb regional medical center",/emergency/hospital/010012,"(256) 845-3150","200 med center drive  fort payne, AL 35968"
25,Alabama,15,-1,52,72,"cherokee medical center",/emergency/hospital/010022,"(256) 927-5531","400 northwood dr  centre, AL 35960"
26,Alabama,22,-1,40,55,"dale medical center",/emergency/hospital/010021,"(334) 774-2601","126 hospital ave  ozark, AL 36360"
27,Alabama,67,-1,100,130,"jackson hospital & clinic inc",/emergency/hospital/010024,"(334) 293-8000","1725 pine street  montgomery, AL 36106"
28,Alabama,44,-1,79,47,"east alabama medical center",/emergency/hospital/010029,"(334) 749-3411","2000 pepperell parkway  opelika, AL 36801"
29,Alabama,64,-1,-1,-1,"callahan eye hospital",/emergency/hospital/010018,"(205) 325-8100","1720 university blvd  birmingham, AL 35233"
30,Alabama,24,-1,42,56,"crenshaw community hospital",/emergency/hospital/010008,"(334) 335-3374","101 hospital circle  luverne, AL 36049"
31,Alabama,20,-1,57,69,"stringfellow memorial hospital",/emergency/hospital/010038,"(256) 235-8900","301 east 18th st  anniston, AL 36201"
32,Alabama,54,-1,70,118,"gadsden regional medical center",/emergency/hospital/010040,"(256) 494-4000","1007 goodyear avenue  gadsden, AL 35903"
33,Alabama,31,-1,76,91,"flowers hospital",/emergency/hospital/010055,"(334) 793-5000","4370 west main street  dothan, AL 36305"
34,Alabama,51,-1,-1,7,"greene county hospital",/emergency/hospital/010051,"(205) 372-3388","509 wilson avenue  eutaw, AL 35462"
35,Alabama,27,-1,69,106,"riverview regional medical center",/emergency/hospital/010046,"(256) 543-5200","600 south third street  gadsden, AL 35901"
36,Alabama,20,-1,46,32,"marion regional medical center",/emergency/hospital/010044,"(205) 921-6200","1256 military street south  hamilton, AL 35570"
37,Alabama,25,-1,40,67,"fayette medical center",/emergency/hospital/010045,"(205) 932-5966","1653 temple avenue north  fayette, AL 35555"
38,Alabama,20,-1,40,49,"lawrence medical center",/emergency/hospital/010059,"(256) 974-2200","202 hospital street  moulton, AL 35650"
39,Alabama,30,-1,58,56,"lake martin community hospital",/emergency/hospital/010052,"(256) 825-7821","201 mariarden road  dadeville, AL 36853"
40,Alabama,41,-1,70,72,"medical center enterprise",/emergency/hospital/010049,"(334) 347-0584","400 n edwards street  enterprise, AL 36330"
41,Alabama,32,-1,54,66,"highlands medical center",/emergency/hospital/010061,"(256) 259-4444","380 woods cove road  scottsboro, AL 35768"
42,Alabama,10,-1,35,48,"andalusia regional hospital",/emergency/hospital/010036,"(334) 222-8466","849 south three notch street  andalusia, AL 36420"
43,Alabama,44,-1,90,55,"northeast alabama regional med center",/emergency/hospital/010078,"(256) 235-5121","400 east 10th street  anniston, AL 36207"
44,Alabama,14,-1,62,38,"medical center barbour",/emergency/hospital/010069,"(334) 688-7271","820 w washington st  eufaula, AL 36027"
45,Alabama,25,-1,53,58,"clay county hospital",/emergency/hospital/010073,"(256) 354-2131","83825 highway 9    p o box 1270  ashland, AL 36251"
46,Alabama,21,-1,44,64,"walker baptist medical center",/emergency/hospital/010089,"(205) 387-4000","3400 highway 78 east  jasper, AL 35502"
47,Alabama,30,-1,69,69,"athens-limestone hospital",/emergency/hospital/010079,"(256) 233-9292","700 west market street  athens, AL 35611"
48,Alabama,28,-1,71,69,"d w mcmillan memorial hospital",/emergency/hospital/010099,"(251) 867-8061","1301 belleville avenue  brewton, AL 36426"
49,Alabama,11,-1,32,63,"northwest medical center",/emergency/hospital/010086,"(205) 487-7736","1530 u s highway 43  winfield, AL 35594"
50,Alabama,47,-1,80,91,"decatur morgan hospital-decatur campus",/emergency/hospital/010085,"(256) 341-2000","1201 7th street se  decatur, AL 35601"
51,Alabama,48,-1,86,91,"providence hospital",/emergency/hospital/010090,"(251) 633-1000","6801 airport boulevard  mobile, AL 36608"
52,Alabama,21,-1,55,43,"citizens baptist medical center",/emergency/hospital/010101,"(256) 761-4542","604 stone avenue  talladega, AL 35161"
53,Alabama,25,-1,65,60,"elmore community hospital",/emergency/hospital/010097,"(334) 567-4311","500 hospital drive  wetumpka, AL 36092"
54,Alabama,48,-1,77,90,"d c h regional medical center",/emergency/hospital/010092,"(205) 759-7111","809 university boulevard east  tuscaloosa, AL 35401"
55,Alabama,50,-1,56,73,"south baldwin regional medical center",/emergency/hospital/010083,"(251) 949-3400","1613 north mckenzie street  foley, AL 36535"
56,Alabama,40,-1,60,-1,"j paul jones hospital",/emergency/hospital/010102,"(334) 682-4131","317 mcwilliams avenue  camden, AL 36726"
57,Alabama,46,-1,116,141,"mobile infirmary",/emergency/hospital/010113,"(251) 435-4700","5 mobile infirmary circle  mobile, AL 36652"
58,Alabama,26,-1,72,68,"medical west, an affiliate of uab health system",/emergency/hospital/010114,"(205) 481-7000","995 9th avenue southwest  bessemer, AL 35021"
59,Alabama,9,-1,27,55,"lakeland community hospital",/emergency/hospital/010125,"(205) 485-7117","42024 highway 195 e     post office box 780  haleyville, AL 35565"
60,Alabama,32,-1,-1,72,"bullock county hospital",/emergency/hospital/010110,"(334) 738-2140","102 west conecuh avenue  union springs, AL 36089"
61,Alabama,37,-1,72,68,"brookwood medical center",/emergency/hospital/010139,"(205) 877-1000","2010 brookwood medical center drive  birmingham, AL 35209"
62,Alabama,44,-1,80,70,"rmc jacksonville",/emergency/hospital/010146,"(256) 782-4538","1701 south pelham road  jacksonville, AL 36265"
63,Alabama,22,-1,50,45,"st vincent's st clair",/emergency/hospital/010130,"(205) 338-3301","7063 veterans parkway  pell city, AL 35125"
64,Alabama,20,-1,41,73,"vaughan regional medical center parkway campus",/emergency/hospital/010118,"(334) 418-4100","1015 medical center parkway  selma, AL 36701"
65,Alabama,21,-1,32,83,"troy regional medical center",/emergency/hospital/010126,"(334) 670-5000","1330 highway 231 south  troy, AL 36081"
66,Alabama,24,-1,59,52,"monroe county hospital",/emergency/hospital/010120,"(251) 575-3111","2016 south alabama avenue, box 886  monroeville, AL 36460"
67,Alabama,45,-1,46,56,"jackson medical center",/emergency/hospital/010128,"(251) 246-9021","220 hospital drive  jackson, AL 36545"
68,Alabama,50,-1,82,84,"crestwood medical center",/emergency/hospital/010131,"(256) 882-3100","one hospital dr se  huntsville, AL 35801"
69,Alabama,33,-1,68,94,"springhill medical center",/emergency/hospital/010144,"(251) 344-9630","3719 dauphin street  mobile, AL 36608"
70,Alabama,35,-1,62,197,"prattville baptist hospital",/emergency/hospital/010108,"(334) 361-4267","124 s memorial dr  prattville, AL 36067"
71,Alabama,12,-1,46,65,"russellville hospital",/emergency/hospital/010158,"(256) 332-1611","15155 highway 43  russellville, AL 35653"
72,Alabama,18,-1,48,74,"coosa valley medical center",/emergency/hospital/010164,"(256) 249-5000","315 w hickory st  sylacauga, AL 35150"
73,Alabama,44,-1,59,52,"atmore community hospital",/emergency/hospital/010169,"(251) 368-2500","401 medical park drive  atmore, AL 36502"
74,Alabama,-1,-1,-1,-1,"tuscaloosa va medical center",/emergency/hospital/01021F,"(205) 554-2000","3701 loop road  tuscaloosa, AL 35404"
75,Alabama,-1,-1,-1,-1,"university of s a children's and women's hos",/emergency/hospital/013301,"(251) 415-1000","1700 center street  mobile, AL 36604"
76,Alabama,-1,-1,-1,-1,"va central alabama healthcare system - montgomery",/emergency/hospital/01019F,"(334) 260-4100","215 perry hill road  montgomery, AL 36109"
77,Alabama,-1,-1,-1,-1,"birmingham va medical center",/emergency/hospital/01014F,"(205) 933-4515","700 south 19th street  birmingham, AL 35233"
78,Alabama,18,-1,-1,145,"shoals hospital",/emergency/hospital/010157,"(256) 386-1601","201 west avalon avenue  muscle shoals, AL 35661"
79,Alabama,29,-1,75,67,"marshall medical center south",/emergency/hospital/010005,"(256) 593-8310","2505 u s highway 431 north  boaz, AL 35957"
